Index,Error,Residual,BoundaryResidual
0,0.5210496989223032,38.97830519271146,0.6701490852760174
1,0.509577361258311,9.946167691537568,0.4744339468913167
2,0.519628280042989,11.132185321820884,0.48590001587559567
3,0.2513236367999935,12.442385978268344,0.5086057443452858
4,0.23369391523988756,11.127820683799982,0.1298555952888627
5,0.1716459512005622,7.760089876686095,0.13411352408350463
6,0.1621095881874067,7.4538726678671345,0.14611438488241468
7,0.16462104305567854,4.456667345103828,0.1373264026081759
8,0.14111579240726763,4.7618165063669755,0.12736561176947253
9,0.10681188159494011,4.5620142684300165,0.10201770912916716
10,0.10542983508430018,3.1584348074089954,0.10686614759252452
11,0.09363283095350144,3.054442542955048,0.1060199499786194
12,0.06596092737608644,2.965151935906976,0.05919672501844539
13,0.06722701996920591,2.795347955287812,0.0536695627583796
14,0.06458587063983312,2.3287733659812324,0.05815249290603359
15,0.044190948168001204,1.880537752206272,0.063096637970162
16,0.02826341176133741,1.6852935146053936,0.044995810622225324
17,0.027029052587882102,1.3252845877465296,0.028056953042971355
18,0.025408170455500922,1.3024667702072557,0.027103679743893053
19,0.024282284987807157,1.3007753219620497,0.02490668984474615
20,0.022969236957390712,1.310066195752766,0.023818073673371465
21,0.023366564656788977,1.3096884768208223,0.023804550950584688
22,0.026733900723950987,1.1764209109379848,0.023954014659593778
23,0.024680615224846936,1.1307037717412731,0.027385492838593276
24,0.02494180246518979,1.190128671443114,0.0254133924343124
25,0.01826117046188594,1.201361803349338,0.02568599287385752
26,0.019183758050041216,1.221519217721613,0.018073166014343695
27,0.01928691683654217,1.223240932084785,0.018450603543146635
28,0.017618701194657346,1.2150602647182795,0.01568629949317237
29,0.017160679156583453,0.6444403945419195,0.017723507018903597
30,0.017804685576205334,0.7753673578253988,0.01723641861033665
31,0.010779576811232858,0.7041913054222628,0.01782113349006662
32,0.011754987616590253,0.8318045258707676,0.011084626145889924
33,0.010816935132853193,0.5346721741401175,0.012192177410100632
34,0.011162279408732476,0.5096420103483332,0.011227154865370055
35,0.005673564452580248,0.4555765186425158,0.011574332413493763
36,0.005540442827676288,0.4812471189469143,0.005974851011520916
37,0.005587041942016924,0.4105158749081883,0.005841620152223257
38,0.005530077457237249,0.3648964828364175,0.005891001244048403
39,0.0028918233197473553,0.295975356695493,0.005842227748150502
40,0.003377724387835901,0.32377402637475683,0.002152107918084941
41,0.003634322354775704,0.3010691180175922,0.0027919857763355482
42,0.0028266315102914996,0.34117526694928557,0.0027016920139815437
43,0.0023967345857969207,0.22700923734723294,0.0030881106232158173
44,0.0019432910928211342,0.23438878699323373,0.00273451915226603
45,0.00196108935610648,0.17680123314513496,0.0022389586809971884
46,0.0019452953277864643,0.09731600698582599,0.002266920041515491
47,0.0015968366689856034,0.08902113504671405,0.0022633305521423536
48,0.001267370063114953,0.08720491463753532,0.0016903105232797836
49,0.0012352396799046681,0.08896111293852926,0.0013512151729730628
50,0.0011734537888395263,0.09016089665162114,0.0013291415718919156
