Total Points,Max Abs Error,Max Residual,Max Boundary Residual
0,0.9987928990623502,38.90707801186808,0.6701490852760174
1,0.9987466999655272,38.908137711309415,0.6701375044576727
2,0.9883493955108276,38.07808164424478,0.6632703199228037
3,0.9771498543169693,37.25824554933476,0.6555436132621609
4,0.9774164376371364,37.245731248874925,0.6555857314318196
5,0.9774576758783079,37.24461143586869,0.6555959595035393
6,0.969580386069585,37.142622653589186,0.6575029072124963
7,0.6922235489124573,30.131392056905057,0.2518885549767111
8,0.6391424842495259,30.017915506034086,0.1976235599411239
9,0.6411331660415265,29.910306978484194,0.1983459323914445
10,0.6409948393122318,29.90261075227053,0.19842449810210933
11,0.6420025631413577,29.710871059675448,0.1966266391853016
12,0.5936298273312866,29.457267948530507,0.1409114924640379
13,0.5094441641959147,27.461982808785077,0.11585399746917946
14,0.5096246471288565,27.385109382938296,0.11580292454817909
15,0.3594059179470679,23.794907738686597,0.07392560485789212
16,0.3525780991355111,23.798053630836073,0.0602012703288195
17,0.34913096198963167,23.851550278800723,0.05918734020618477
18,0.3496572666788734,22.845466015148972,0.10862769488523422
19,0.34243096198122047,21.339029746596676,0.11803233533175772
20,0.2997485387656095,21.366085207178404,0.12284781123817046
21,0.11884096930640772,6.485176243214889,0.07127685200380243
22,0.10939460699829585,5.86033793984844,0.07305625884470529
23,0.10943962324764746,5.739769900746833,0.07410057559718464
24,0.10416857388444276,5.706696122504416,0.07364461265485467
25,0.10241693679841224,5.7530110555303775,0.06492470841070863
26,0.07264165857627028,3.7041520336179676,0.05182586133482187
27,0.07845172774091705,4.04553031479783,0.05688877865401106
28,0.07176242850185077,4.139430164272767,0.049775814648808286
29,0.06345105134067675,5.203699565869031,0.059537730214366674
30,0.06266592751412715,5.202553272931074,0.05865713826081427
31,0.05199997817608773,4.660703073403107,0.04593067773069394
32,0.04956938003329278,4.577899072164506,0.04357112643096961
33,0.014519976382612265,1.8317228118555908,0.011862753083367844
34,0.013094131939581422,1.781446043461937,0.013092385785831745
35,0.0141802431490822,1.6800015087962095,0.014187444349912329
36,0.011228586227579829,1.5563802687910355,0.0075143032449905755
37,0.010270069614250699,1.6091982971994163,0.00995487083767213
38,0.015410253277432173,1.6581319661107896,0.015441372564444444
39,0.02074196671260617,2.160301346989989,0.020752593513634038
40,0.020742645305974083,2.1603040343843567,0.02075329440799309
41,0.02062255050621198,2.0640998468565215,0.020646626883416397
42,0.020875633955800832,2.0605528211482707,0.020925233694513545
43,0.02104679496702644,2.081176005553605,0.021080226913285094
44,0.013961510726745572,1.9521167151442391,0.013974003059496762
45,0.013632244055284093,1.8564122065085762,0.01364165892931597
46,0.017364953873281967,0.9867097088432346,0.01735970760355529
47,0.011469421618759261,0.9612423412310469,0.011469408731252287
48,0.007651558713419639,0.9735003207059418,0.006319473746194654
49,0.0069588575900008665,0.5222203033874946,0.00695655561635844
50,0.007398473990021137,0.5861166920302132,0.007396270517608439
51,0.005688381653625827,0.3992572946110102,0.005688223394678746
52,0.00567422343433327,0.39703239580098093,0.005673495013913454
53,0.0057395950907410676,0.40750906591432634,0.005737695147753685
54,0.005747476519216033,0.40700114260885767,0.005745529637215363
55,0.005725255616184025,0.4357502447609065,0.005728731068760681
56,0.0070126657875246015,0.43595730610427386,0.007011707748639207
57,0.006958932761995606,0.431312233418789,0.006958410814768815
58,0.007030304141775564,0.41777002200748115,0.007047250002179617
59,0.007518612539460497,0.47062678616022335,0.007515098569472504
60,0.0026428109553821647,0.3556622396591944,0.0026524734043976723
61,0.0009906089548832636,0.3372059830334573,0.0009939457104378227
62,0.0014201266503673787,0.3205766991606238,0.0014285697808277542
63,0.0014203065672635518,0.3206193774430835,0.0014287489259209585
64,0.001428155417493901,0.31897624978791905,0.001436713983113097
65,0.0008954122621944172,0.27120618270733055,0.0009006703477454636
66,0.00083543190465106,0.25225222078419735,0.0008359335302981219
67,0.0008276512718008305,0.18303733022640145,0.0008281817022768589
68,0.0007746158588528979,0.17470019617468777,0.000774678444391802
69,0.0008124692986778842,0.1987917071419174,0.0008128288022039298
70,0.0011267637559244509,0.22821592652209333,0.0011265563687614388
71,0.0011711736271054624,0.22500748801995663,0.0011705906516102094
72,0.0010688456642382188,0.2327861288890345,0.0010684123167852833
73,0.0010921412974481265,0.22869816353006645,0.001091737015706279
74,0.00105924789305821,0.22564284729658102,0.001059082088754576
75,0.001803820090580846,0.24119324070029258,0.0018124022314401356
76,0.0017535107196794825,0.23509869377070025,0.0017620763996860356
77,0.0019084282541734082,0.2372226144738283,0.001920305563378466
78,0.0018867900454591774,0.23334216105123318,0.001899431809251645
79,0.001660885663404707,0.2179469933870264,0.0016698104504671019
80,0.0004640227393050997,0.20663222381312174,0.00046518423035339976
81,0.0009028401216569523,0.12118983966761832,0.0009100451700478245
82,0.0009127694402787676,0.10518977795928919,0.0009175068362515697
83,0.0006033957726526435,0.05857167819522413,0.0006083391437119894
84,0.0006197375290372404,0.05498156604334792,0.0006257843388271405
85,0.0005142641892904329,0.05660935879465523,0.0005180388148266384
86,0.0005764498967344163,0.08327591580353655,0.0005813370133688938
87,0.0003970787854330729,0.045814964858527096,0.000397427334754051
88,0.0001340236735187586,0.044820361221245775,0.00011556224182854291
89,0.00025998499362531375,0.05328555900594123,0.0002600341521049863
90,0.0002907868627428942,0.03344130390888722,0.0002929157937532239
91,0.00019994284992993854,0.02738381615931118,0.00020011876433254213
92,0.00019508546075932913,0.027298192578715685,0.00019523010670849513
93,0.0002322122608137689,0.02963701515886974,0.00023235115333805623
94,0.00022567463190953374,0.042111435038626216,0.00022601833634303126
95,0.00018356675411351775,0.03164808444010002,0.00018489085193537647
96,0.0001741430875766281,0.026985194394528955,0.00017492145749517518
97,0.00017443555334001326,0.02163243042752505,0.00017505416615123948
98,0.00017316326250310654,0.023336016025426773,0.00017385118339427463
99,0.00017833152133929996,0.02105814629838587,0.000178684036046895
100,0.0002409998682117978,0.01712863837298162,0.00024153449723142103
101,0.0002095388430287373,0.0170105159912719,0.0002096756479055841
102,0.0002084392971534435,0.017012930958284933,0.0002085750273432981
103,0.00020860632380858917,0.017030965266888742,0.0002087423172924415
104,4.54507835959822e-05,0.014633375584611308,4.5445134580573976e-05
105,6.323713499910288e-05,0.015182275427485514,6.337562530808749e-05
106,6.94549553288265e-05,0.01501763516415977,6.957959424133686e-05
107,7.29188132968378e-05,0.014603097353918848,7.304361527868397e-05
108,7.638572562494728e-05,0.014610338856437366,7.660502431169891e-05
109,7.556014963337743e-05,0.014248648068007519,7.578076263456412e-05
110,7.426780066620287e-05,0.012899027049546596,7.450268078931788e-05
111,7.622413626816316e-05,0.012944765555388038,7.648449863714712e-05
112,4.6997289444156154e-05,0.013085833873261343,4.772521060608659e-05
113,4.6789309206679564e-05,0.013226611731331772,4.753492356307509e-05
114,5.6331028759820656e-05,0.01081243653810482,5.6871488891940825e-05
115,4.401384277932796e-05,0.012749349910701646,4.405497015586013e-05
116,4.792073911999428e-05,0.012294099841594353,4.795545528452072e-05
117,5.259562216955449e-05,0.01339564651524583,5.263342588029962e-05
118,5.06325938616492e-05,0.013159604844634742,5.0662261304734724e-05
119,5.077411532730669e-05,0.01406729555216124,5.0804779347435325e-05
120,5.0506453921378425e-05,0.014016734174429502,5.053681274830302e-05
121,4.1611959850335056e-05,0.01439593656027327,4.163841348997499e-05
122,3.618251738582434e-05,0.014333900574037273,3.620566388512492e-05
123,3.774616977650358e-05,0.013678048515465502,3.784563521985751e-05
124,2.643680034447593e-05,0.01474558046106944,2.200626028360308e-05
125,1.4228506360264889e-05,0.006564600410289612,1.4231930255637732e-05
126,1.0696280182382375e-05,0.004485009029204415,1.0692215808639322e-05
127,1.003253445733325e-05,0.0046641214660757685,1.002850755228501e-05
128,7.86837843003152e-06,0.005131742577617199,3.1594654623240404e-06
129,8.246811735100092e-06,0.005442491867760246,4.102153366949968e-06
130,1.0290238248487817e-05,0.005739652325497779,4.369356256098134e-06
